Scenario,Policy,Type,Avg_Reward,Std_Reward,Avg_Throughput,Avg_Latency,Avg_Decisions,Efficiency,Stay_Prob,Switch_Prob,OBSS_Duration,PPDU_Duration,Throughput_Reward,Latency_Penalty,Throughput_Ratio,Latency_Ratio
Extreme OBSS (200),Primary-Only,Baseline,126.43,307.6587617799955,25.41,1276.7,4.1,0.019902874598574448,1.0,0.0,200,33,61.97560975609756,31.139024390243904,0.4901970240931548,0.24629458506876456
Extreme OBSS (200),NPCA-Only,Baseline,502.675,523.1853691331592,75.9,2563.25,26.9,0.029610845606164053,0.0,1.0,200,33,28.21561338289963,9.528810408921933,0.05613092631004054,0.01895620512044946
Extreme OBSS (200),Random,Baseline,285.28899999999993,447.21562492717084,48.18,1965.11,12.16,0.024517711476711227,0.48835403726708076,0.5116459627329193,200,33,39.62171052631579,16.160444078947368,0.13888271376153935,0.056645871656276166
Extreme OBSS (200),Smart-30,Baseline,512.1980000000001,496.2421985240675,76.56,2534.02,26.1,0.030212863355458915,0.24468892261001518,0.7553110773899848,200,33,29.333333333333332,9.70888888888889,0.057269519469684234,0.01895534322447352
Extreme OBSS (200),Smart-100,Baseline,116.78899999999997,370.9393402956877,24.09,1241.11,4.06,0.01941004423459645,1.0,0.0,200,33,59.33497536945813,30.569211822660094,0.5080527735442392,0.2617473548250272
Extreme OBSS (200),Adaptive-CW,Baseline,334.9939999999999,453.49206670458966,53.13,1963.06,9.86,0.027064888490418024,0.7959961868446139,0.20400381315538607,200,33,53.88438133874239,19.909330628803243,0.16085178044604503,0.05943190214989895
Extreme OBSS (200),OBSS-Freq,Baseline,610.62,696.6776574571629,87.12,2605.8,26.28,0.03343311075293576,0.01961523953225198,0.980384760467748,200,33,33.15068493150685,9.915525114155251,0.05429020492533303,0.01623845454481552
Extreme OBSS (200),DRL-medium,DRL,101.93700000000001,311.14101390044993,21.45,1125.63,3.65,0.01905599530929346,1.0,0.0,200,33,58.76712328767123,30.83917808219178,0.5765043437384976,0.30253174099877156
Extreme OBSS (200),DRL-medium,DRL,99.75100000000002,328.60913635959673,23.1,1312.49,4.17,0.01760013409625978,1.0,0.0,200,33,55.39568345323741,31.474580335731414,0.5553396302116009,0.3155314767343827
Extreme OBSS (200),DRL-medium,DRL,124.12199999999999,429.76921913510745,25.08,1266.78,4.56,0.019798228579548143,0.9133574007220217,0.08664259927797834,200,33,55.0,27.780263157894737,0.4431124216496673,0.2238141760356322
