PPDU_Variant,PPDU_Duration,Policy,Avg_Reward,Std_Reward,Efficiency,Stay_Prob,Switch_Prob,Avg_Decisions,Total_Throughput,Total_Latency
short,20,Primary-Only,3.3333333333333335,17.950549357115015,0.016666666666666666,1.0,0.0,5.0,100,0
short,20,NPCA-Only,9.333333333333334,34.922135609890105,0.04666666666666667,0.0,1.0,5.0,280,0
short,20,Random,3.3333333333333335,17.950549357115015,0.016666666666666666,0.5,0.5,5.0,100,0
short,20,DRL (OBSS 50),4.0,21.540659228538015,0.02,0.4066666666666667,0.5933333333333334,5.0,120,0
medium,33,Primary-Only,4.4,23.694725151391822,0.022,1.0,0.0,5.0,132,0
medium,33,NPCA-Only,4.4,23.694725151391822,0.022,0.0,1.0,5.0,132,0
medium,33,Random,8.8,32.92658500361068,0.044,0.5,0.5,5.0,264,0
medium,33,DRL (OBSS 50),8.8,32.92658500361068,0.044,0.41333333333333333,0.5866666666666667,5.0,264,0
long,50,Primary-Only,5.0,26.92582403567252,0.025,1.0,0.0,5.0,150,0
long,50,NPCA-Only,5.0,26.92582403567252,0.025,0.0,1.0,5.0,150,0
long,50,Random,5.0,26.92582403567252,0.025,0.5,0.5,5.0,150,0
long,50,DRL (OBSS 50),3.3333333333333335,17.950549357115015,0.016666666666666666,0.4066666666666667,0.5933333333333334,5.0,100,0
extra_long,80,Primary-Only,5.333333333333333,28.72087897138402,0.02666666666666667,1.0,0.0,5.0,160,0
extra_long,80,NPCA-Only,5.333333333333333,28.72087897138402,0.02666666666666667,0.0,1.0,5.0,160,0
extra_long,80,Random,5.333333333333333,28.72087897138402,0.02666666666666667,0.5,0.5,5.0,160,0
extra_long,80,DRL (OBSS 50),5.333333333333333,28.72087897138402,0.02666666666666667,0.4066666666666667,0.5933333333333334,5.0,160,0
