drl,always_primary,always_npca
200.0,40.0,180.0
120.0,80.0,170.0
240.0,50.0,110.0
120.0,60.0,110.0
160.0,20.0,230.0
180.0,60.0,150.0
110.0,50.0,160.0
140.0,0.0,130.0
190.0,80.0,210.0
150.0,10.0,220.0
230.0,40.0,200.0
220.0,0.0,210.0
180.0,20.0,130.0
160.0,90.0,140.0
200.0,30.0,160.0
260.0,10.0,170.0
150.0,30.0,160.0
200.0,20.0,130.0
170.0,40.0,290.0
140.0,90.0,170.0
160.0,20.0,240.0
210.0,60.0,180.0
230.0,80.0,240.0
180.0,70.0,190.0
110.0,40.0,180.0
210.0,40.0,250.0
140.0,50.0,300.0
240.0,30.0,280.0
130.0,70.0,130.0
160.0,50.0,160.0
170.0,0.0,230.0
210.0,40.0,140.0
280.0,10.0,240.0
100.0,20.0,180.0
190.0,120.0,210.0
180.0,100.0,200.0
220.0,40.0,160.0
120.0,80.0,150.0
240.0,70.0,140.0
130.0,60.0,170.0
230.0,60.0,130.0
190.0,60.0,140.0
210.0,30.0,250.0
220.0,10.0,170.0
200.0,30.0,200.0
130.0,20.0,100.0
250.0,10.0,190.0
120.0,30.0,120.0
120.0,70.0,150.0
220.0,40.0,200.0
