DRL Policy (제안기법)_reward,DRL Policy (제안기법)_occupancy,Always NPCA_reward,Always NPCA_occupancy,Always Primary_reward,Always Primary_occupancy
0.0,0,132.0,264,0.0,0
0.0,0,115.5,231,0.0,0
49.5,99,148.5,297,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,82.5,165,16.5,33
0.0,0,132.0,264,0.0,0
33.0,66,99.0,198,0.0,0
33.0,66,132.0,264,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,231.0,462,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,181.5,363,0.0,0
0.0,0,148.5,297,0.0,0
0.0,0,148.5,297,16.5,33
0.0,0,132.0,264,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,115.5,231,0.0,0
0.0,0,66.0,132,0.0,0
0.0,0,115.5,231,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,181.5,363,0.0,0
0.0,0,132.0,264,0.0,0
16.5,33,82.5,165,33.0,66
16.5,33,148.5,297,0.0,0
0.0,0,181.5,363,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,99.0,198,0.0,0
16.5,33,99.0,198,0.0,0
0.0,0,148.5,297,0.0,0
0.0,0,115.5,231,0.0,0
0.0,0,148.5,297,16.5,33
0.0,0,115.5,231,16.5,33
0.0,0,82.5,165,16.5,33
0.0,0,148.5,297,0.0,0
16.5,33,99.0,198,0.0,0
0.0,0,82.5,165,16.5,33
0.0,0,148.5,297,16.5,33
0.0,0,115.5,231,0.0,0
0.0,0,181.5,363,16.5,33
0.0,0,148.5,297,0.0,0
16.5,33,148.5,297,0.0,0
0.0,0,82.5,165,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,115.5,231,0.0,0
16.5,33,148.5,297,0.0,0
0.0,0,148.5,297,0.0,0
0.0,0,82.5,165,0.0,0
16.5,33,115.5,231,0.0,0
16.5,33,99.0,198,0.0,0
0.0,0,115.5,231,0.0,0
0.0,0,132.0,264,33.0,66
0.0,0,132.0,264,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,165.0,330,0.0,0
0.0,0,181.5,363,0.0,0
0.0,0,66.0,132,33.0,66
0.0,0,198.0,396,0.0,0
33.0,66,82.5,165,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,99.0,198,33.0,66
0.0,0,115.5,231,16.5,33
0.0,0,99.0,198,0.0,0
0.0,0,66.0,132,0.0,0
0.0,0,82.5,165,0.0,0
0.0,0,66.0,132,0.0,0
0.0,0,132.0,264,0.0,0
0.0,0,148.5,297,0.0,0
0.0,0,148.5,297,0.0,0
0.0,0,132.0,264,0.0,0
16.5,33,132.0,264,0.0,0
0.0,0,198.0,396,0.0,0
0.0,0,66.0,132,0.0,0
0.0,0,82.5,165,16.5,33
0.0,0,115.5,231,0.0,0
0.0,0,132.0,264,49.5,99
0.0,0,115.5,231,16.5,33
0.0,0,115.5,231,0.0,0
0.0,0,165.0,330,0.0,0
0.0,0,82.5,165,0.0,0
0.0,0,115.5,231,49.5,99
0.0,0,132.0,264,33.0,66
0.0,0,99.0,198,0.0,0
0.0,0,247.5,495,66.0,132
0.0,0,99.0,198,49.5,99
0.0,0,115.5,231,33.0,66
0.0,0,165.0,330,33.0,66
16.5,33,115.5,231,0.0,0
0.0,0,99.0,198,0.0,0
0.0,0,82.5,165,0.0,0
0.0,0,148.5,297,0.0,0
33.0,66,148.5,297,16.5,33
0.0,0,115.5,231,0.0,0
16.5,33,115.5,231,0.0,0
33.0,66,132.0,264,0.0,0
0.0,0,66.0,132,0.0,0
0.0,0,99.0,198,0.0,0
