OBSS Remaining (slots),Radio Transition Time,TX Duration (slots),CW Index,Action,Action_Name,Q_Primary,Q_NPCA,Q_Diff,OBSS_Category,OBSS_Binned
1,1,165,4,0,Stay Primary,1.1246755,-6.089657,-7.2143326,Very Low (0-10),0-9
62,1,33,2,1,Go NPCA,0.02361964,0.18524218,0.16162254,High (51-100),60-69
55,1,33,6,0,Stay Primary,0.07195386,-0.090213716,-0.16216758,High (51-100),50-59
3,1,33,2,0,Stay Primary,0.2706559,-1.2226132,-1.4932691,Very Low (0-10),0-9
82,1,33,5,1,Go NPCA,-0.678168,1.259537,1.937705,High (51-100),80-89
51,1,33,3,0,Stay Primary,0.051827036,0.024488702,-0.027338333,High (51-100),50-59
51,1,165,6,0,Stay Primary,0.9093337,-4.8624277,-5.7717614,High (51-100),50-59
41,1,165,2,0,Stay Primary,0.9050517,-4.8380246,-5.7430763,Medium (31-50),40-49
85,1,165,4,0,Stay Primary,0.71870756,-3.7760525,-4.49476,High (51-100),80-89
56,1,165,2,0,Stay Primary,0.8325575,-4.424881,-5.2574387,High (51-100),50-59
99,1,165,3,0,Stay Primary,0.63789344,-3.3154938,-3.9533873,High (51-100),90-99
3,1,165,1,0,Stay Primary,1.075551,-5.8096976,-6.8852487,Very Low (0-10),0-9
14,1,165,6,0,Stay Primary,1.0881529,-5.881515,-6.969668,Low (11-30),10-19
66,1,165,5,0,Stay Primary,0.82368654,-4.3743258,-5.1980124,High (51-100),60-69
24,1,165,3,0,Stay Primary,1.0003649,-5.381212,-6.381577,Low (11-30),20-29
5,1,33,4,0,Stay Primary,0.28729576,-1.3174435,-1.6047392,Very Low (0-10),0-9
8,1,33,0,0,Stay Primary,0.2201854,-0.93498266,-1.155168,Very Low (0-10),0-9
4,1,33,3,0,Stay Primary,0.2789758,-1.2700284,-1.5490042,Very Low (0-10),0-9
13,1,165,4,0,Stay Primary,1.0666802,-5.7591424,-6.825823,Low (11-30),10-19
13,1,165,2,0,Stay Primary,1.0403745,-5.6092267,-6.649601,Low (11-30),10-19
