DRL Policy,Always NPCA,Always Primary
2.97,0.0,0.0
3.3,0.0,0.0
2.31,0.0,0.0
2.31,0.0,0.0
1.98,0.0,0.0
1.65,0.0,0.0
2.64,0.0,0.0
2.31,0.0,0.0
2.31,0.0,0.0
1.65,0.0,0.0
2.64,0.0,0.0
3.3,0.0,0.0
2.97,0.0,0.0
1.65,0.0,0.0
1.98,0.0,0.0
2.64,0.0,0.0
2.97,0.0,0.0
2.31,0.0,0.0
2.64,0.0,0.0
0.99,0.0,0.0
2.64,0.0,0.0
2.31,0.0,0.0
2.31,0.0,0.33
2.64,0.0,0.0
2.97,0.0,0.0
2.97,0.0,0.0
2.31,0.0,0.0
2.64,0.0,0.0
2.31,0.0,0.0
1.98,0.0,0.0
3.3,0.0,0.0
3.63,0.0,0.0
2.31,0.0,0.0
2.97,0.0,0.0
2.31,0.0,0.0
1.65,0.0,0.0
1.98,0.0,0.0
1.98,0.0,0.0
2.31,0.0,0.0
2.97,0.0,0.0
2.31,0.0,0.0
0.99,0.0,0.0
2.31,0.0,0.0
0.99,0.0,0.0
3.3,0.0,0.0
2.31,0.0,0.0
2.31,0.0,0.0
2.64,0.0,0.0
2.31,0.0,0.0
1.32,0.0,0.0
