episode,slot,sta_id,primary_channel_obss_occupied_remained,radio_transition_time,tx_duration,cw_index,action,epsilon,steps_done,reward,tau
0,1,0,149,1,33,0,0,0.8999150042498584,1,0.0,198
0,1,1,149,1,33,0,1,0.8998300169988668,2,0.0,198
0,1,2,149,1,33,0,1,0.8997450382461754,3,0.0,183
0,1,3,149,1,33,0,1,0.8996600679909342,4,0.0,104
0,1,4,149,1,33,0,0,0.899575106232294,5,0.0,198
0,1,5,149,1,33,0,0,0.8994901529694046,6,0.0,198
0,1,6,149,1,33,0,0,0.8994052082014168,7,0.0,198
0,1,7,149,1,33,0,1,0.8993202719274812,8,0.0,198
0,1,8,149,1,33,0,0,0.8992353441467483,9,0.0,198
0,1,9,149,1,33,0,0,0.8991504248583688,10,0.0,198
2,39,0,149,1,33,0,1,0.8990655140614935,11,0.0,160
2,39,1,149,1,33,0,0,0.8989806117552734,12,0.0,160
2,39,2,149,1,33,0,0,0.8988957179388595,13,0.0,160
2,39,3,149,1,33,0,1,0.8988108326114027,14,0.0,66
2,39,4,149,1,33,0,0,0.8987259557720543,15,0.0,160
2,39,5,149,1,33,0,1,0.8986410874199654,16,0.0,66
2,39,6,149,1,33,0,0,0.8985562275542874,17,0.0,160
2,39,7,149,1,33,0,1,0.8984713761741717,18,0.0,135
2,39,8,149,1,33,0,0,0.8983865332787697,19,0.0,160
2,39,9,149,1,33,0,1,0.8983016988672331,20,0.0,160
5,1,0,149,1,33,0,1,0.8982168729387134,21,0.0,104
5,1,1,149,1,33,0,1,0.8981320554923626,22,0.0,139
5,1,2,149,1,33,0,0,0.8980472465273324,23,0.0,198
5,1,3,149,1,33,0,0,0.8979624460427745,24,0.0,198
5,1,4,149,1,33,0,1,0.8978776540378411,25,0.0,198
5,1,5,149,1,33,0,1,0.8977928705116843,26,0.0,198
5,1,6,149,1,33,0,0,0.8977080954634562,27,0.0,198
5,1,7,149,1,33,0,0,0.897623328892309,28,0.0,198
5,1,8,149,1,33,0,0,0.8975385707973952,29,0.0,198
5,1,9,149,1,33,0,1,0.8974538211778671,30,0.0,150
9,69,0,149,1,33,0,0,0.8973690800328772,31,0.0,130
9,69,1,149,1,33,0,1,0.897284347361578,32,0.0,130
9,69,2,149,1,33,0,0,0.8971996231631224,33,0.0,130
9,69,3,149,1,33,0,0,0.897114907436663,34,0.0,130
9,69,4,149,1,33,0,1,0.8970302001813527,35,0.0,130
9,69,5,149,1,33,0,1,0.8969455013963443,36,0.0,130
9,69,6,149,1,33,0,0,0.8968608110807911,37,0.0,130
9,69,7,149,1,33,0,0,0.896776129233846,38,0.0,130
9,69,8,149,1,33,0,0,0.8966914558546621,39,0.0,130
9,69,9,149,1,33,0,0,0.8966067909423928,40,0.0,130
10,144,0,149,1,33,0,0,0.8965221344961913,41,0.0,55
10,144,1,149,1,33,0,1,0.8964374865152114,42,0.0,55
10,144,2,149,1,33,0,1,0.8963528469986063,43,0.0,55
10,144,3,149,1,33,0,1,0.8962682159455295,44,0.0,55
10,144,4,149,1,33,0,1,0.896183593355135,45,0.0,55
10,144,5,149,1,33,0,1,0.8960989792265764,46,0.0,55
10,144,6,149,1,33,0,0,0.8960143735590077,47,0.0,55
10,144,7,149,1,33,0,0,0.8959297763515827,48,0.0,55
10,144,8,149,1,33,0,1,0.8958451876034553,49,0.0,55
10,144,9,149,1,33,0,0,0.89576060731378,50,0.0,55
32,36,0,149,1,33,0,1,0.8956760354817107,51,0.0,163
32,36,1,149,1,33,0,0,0.8955914721064018,52,0.0,163
32,36,2,149,1,33,0,1,0.8955069171870076,53,0.0,137
32,36,3,149,1,33,0,1,0.8954223707226825,54,0.0,163
32,36,4,149,1,33,0,1,0.8953378327125813,55,0.0,163
32,36,5,149,1,33,0,1,0.8952533031558583,56,0.0,163
32,36,6,149,1,33,0,0,0.8951687820516683,57,0.0,163
32,36,7,149,1,33,0,0,0.8950842693991662,58,0.0,163
