DRL_Policy,Always_Primary,Always_NPCA
270.0,230.0,270.0
210.0,270.0,280.0
270.0,270.0,250.0
300.0,290.0,270.0
240.0,260.0,290.0
280.0,100.0,130.0
260.0,290.0,230.0
240.0,310.0,240.0
240.0,270.0,230.0
210.0,270.0,290.0
280.0,270.0,140.0
260.0,290.0,320.0
280.0,200.0,250.0
310.0,280.0,310.0
140.0,230.0,290.0
270.0,140.0,290.0
230.0,190.0,220.0
230.0,110.0,230.0
300.0,260.0,240.0
230.0,30.0,200.0
270.0,260.0,220.0
280.0,230.0,230.0
270.0,270.0,310.0
260.0,80.0,270.0
310.0,190.0,180.0
140.0,340.0,200.0
310.0,300.0,240.0
210.0,250.0,160.0
250.0,270.0,230.0
260.0,280.0,220.0
220.0,290.0,280.0
210.0,190.0,200.0
270.0,330.0,260.0
280.0,70.0,280.0
230.0,310.0,160.0
300.0,50.0,310.0
250.0,260.0,310.0
280.0,220.0,290.0
200.0,220.0,220.0
270.0,290.0,270.0
280.0,260.0,260.0
220.0,200.0,250.0
180.0,340.0,230.0
250.0,310.0,270.0
160.0,230.0,310.0
260.0,320.0,280.0
290.0,320.0,240.0
250.0,290.0,310.0
260.0,310.0,270.0
300.0,250.0,270.0
210.0,250.0,310.0
150.0,70.0,270.0
210.0,280.0,260.0
290.0,300.0,230.0
230.0,310.0,160.0
290.0,300.0,260.0
240.0,270.0,290.0
320.0,270.0,270.0
310.0,150.0,140.0
250.0,280.0,280.0
250.0,240.0,260.0
250.0,210.0,240.0
280.0,190.0,290.0
210.0,200.0,270.0
260.0,230.0,290.0
270.0,300.0,150.0
270.0,270.0,240.0
270.0,260.0,240.0
270.0,170.0,280.0
220.0,130.0,270.0
300.0,290.0,280.0
200.0,290.0,230.0
290.0,240.0,280.0
240.0,260.0,200.0
360.0,120.0,260.0
270.0,200.0,250.0
290.0,220.0,300.0
290.0,160.0,280.0
170.0,310.0,240.0
190.0,250.0,220.0
270.0,250.0,260.0
280.0,180.0,280.0
280.0,190.0,290.0
230.0,220.0,240.0
220.0,310.0,280.0
220.0,240.0,210.0
320.0,240.0,230.0
190.0,270.0,280.0
190.0,170.0,270.0
270.0,290.0,250.0
280.0,230.0,320.0
250.0,170.0,260.0
250.0,310.0,170.0
230.0,140.0,230.0
240.0,140.0,290.0
230.0,250.0,260.0
180.0,220.0,280.0
220.0,200.0,250.0
270.0,220.0,260.0
240.0,320.0,290.0
240.0,250.0,330.0
150.0,150.0,290.0
340.0,210.0,280.0
240.0,240.0,160.0
280.0,110.0,260.0
260.0,240.0,260.0
290.0,200.0,180.0
320.0,320.0,280.0
260.0,310.0,310.0
170.0,300.0,230.0
250.0,190.0,150.0
300.0,150.0,220.0
270.0,210.0,280.0
320.0,250.0,270.0
250.0,260.0,270.0
270.0,240.0,200.0
260.0,270.0,270.0
280.0,260.0,230.0
270.0,210.0,270.0
250.0,250.0,220.0
260.0,260.0,320.0
300.0,250.0,240.0
250.0,280.0,260.0
280.0,230.0,210.0
270.0,270.0,300.0
240.0,320.0,270.0
160.0,100.0,260.0
220.0,40.0,220.0
270.0,100.0,150.0
260.0,190.0,210.0
140.0,230.0,270.0
200.0,60.0,210.0
220.0,140.0,240.0
180.0,40.0,230.0
290.0,280.0,250.0
210.0,240.0,290.0
260.0,120.0,230.0
230.0,150.0,250.0
280.0,110.0,260.0
220.0,220.0,270.0
200.0,290.0,210.0
230.0,220.0,250.0
250.0,270.0,300.0
310.0,260.0,290.0
150.0,270.0,230.0
300.0,300.0,260.0
250.0,300.0,270.0
270.0,50.0,220.0
230.0,240.0,260.0
260.0,250.0,270.0
230.0,240.0,210.0
290.0,280.0,260.0
260.0,320.0,240.0
280.0,230.0,250.0
250.0,300.0,250.0
330.0,90.0,240.0
310.0,200.0,280.0
270.0,210.0,240.0
240.0,260.0,310.0
280.0,270.0,310.0
280.0,130.0,260.0
250.0,50.0,360.0
330.0,250.0,290.0
250.0,230.0,200.0
300.0,250.0,300.0
290.0,250.0,240.0
170.0,290.0,230.0
310.0,250.0,280.0
230.0,240.0,220.0
230.0,280.0,210.0
170.0,290.0,320.0
280.0,240.0,180.0
230.0,60.0,230.0
310.0,260.0,230.0
310.0,300.0,250.0
260.0,220.0,280.0
260.0,280.0,290.0
270.0,260.0,250.0
250.0,80.0,190.0
280.0,90.0,240.0
300.0,270.0,270.0
270.0,270.0,260.0
310.0,240.0,210.0
290.0,290.0,200.0
180.0,250.0,230.0
230.0,160.0,240.0
240.0,270.0,270.0
330.0,290.0,260.0
190.0,250.0,230.0
280.0,300.0,150.0
200.0,250.0,300.0
270.0,260.0,300.0
260.0,290.0,290.0
300.0,80.0,280.0
290.0,240.0,250.0
270.0,150.0,240.0
270.0,300.0,280.0
270.0,270.0,270.0
270.0,250.0,260.0
260.0,90.0,180.0
220.0,250.0,250.0
190.0,80.0,220.0
290.0,310.0,300.0
300.0,270.0,270.0
140.0,250.0,130.0
240.0,210.0,140.0
230.0,210.0,320.0
250.0,270.0,280.0
280.0,150.0,120.0
220.0,220.0,230.0
270.0,230.0,290.0
310.0,250.0,290.0
270.0,320.0,250.0
240.0,330.0,260.0
330.0,230.0,260.0
210.0,280.0,200.0
250.0,240.0,260.0
220.0,260.0,280.0
140.0,110.0,190.0
260.0,120.0,130.0
250.0,260.0,230.0
270.0,240.0,260.0
250.0,260.0,270.0
280.0,250.0,210.0
330.0,240.0,160.0
280.0,140.0,250.0
130.0,250.0,250.0
150.0,270.0,290.0
230.0,240.0,310.0
320.0,260.0,240.0
170.0,270.0,280.0
230.0,250.0,250.0
300.0,320.0,190.0
250.0,260.0,320.0
290.0,40.0,270.0
170.0,290.0,250.0
170.0,210.0,270.0
240.0,220.0,260.0
310.0,350.0,240.0
280.0,260.0,310.0
280.0,300.0,270.0
270.0,240.0,230.0
230.0,170.0,260.0
230.0,130.0,260.0
250.0,270.0,180.0
280.0,360.0,260.0
200.0,290.0,240.0
210.0,270.0,220.0
290.0,150.0,240.0
200.0,240.0,220.0
260.0,60.0,270.0
310.0,190.0,260.0
290.0,270.0,230.0
240.0,270.0,280.0
210.0,270.0,230.0
250.0,210.0,270.0
270.0,210.0,280.0
160.0,280.0,250.0
240.0,260.0,270.0
200.0,250.0,270.0
300.0,250.0,310.0
260.0,120.0,280.0
160.0,190.0,290.0
230.0,50.0,290.0
200.0,260.0,270.0
240.0,340.0,320.0
210.0,310.0,130.0
240.0,230.0,210.0
280.0,290.0,310.0
230.0,240.0,130.0
280.0,200.0,270.0
150.0,230.0,200.0
220.0,270.0,200.0
270.0,240.0,290.0
260.0,260.0,150.0
280.0,210.0,230.0
300.0,80.0,160.0
270.0,240.0,280.0
200.0,90.0,270.0
290.0,100.0,270.0
300.0,270.0,240.0
270.0,270.0,150.0
240.0,120.0,260.0
250.0,260.0,280.0
220.0,300.0,270.0
200.0,260.0,270.0
300.0,160.0,280.0
150.0,270.0,290.0
280.0,270.0,250.0
280.0,280.0,270.0
150.0,260.0,340.0
240.0,80.0,290.0
240.0,250.0,240.0
230.0,240.0,330.0
290.0,200.0,120.0
290.0,240.0,320.0
240.0,280.0,140.0
240.0,240.0,310.0
210.0,270.0,240.0
250.0,270.0,280.0
270.0,170.0,220.0
200.0,120.0,240.0
200.0,260.0,230.0
260.0,200.0,300.0
240.0,270.0,290.0
240.0,280.0,270.0
250.0,270.0,220.0
240.0,270.0,300.0
250.0,200.0,270.0
290.0,290.0,280.0
210.0,140.0,250.0
220.0,290.0,270.0
220.0,250.0,280.0
250.0,220.0,280.0
280.0,90.0,330.0
280.0,280.0,290.0
290.0,270.0,230.0
190.0,120.0,250.0
230.0,270.0,340.0
230.0,220.0,270.0
210.0,290.0,230.0
250.0,290.0,230.0
190.0,300.0,130.0
260.0,60.0,280.0
250.0,220.0,200.0
240.0,260.0,180.0
270.0,250.0,300.0
230.0,300.0,270.0
290.0,280.0,260.0
270.0,290.0,310.0
260.0,300.0,280.0
240.0,240.0,250.0
220.0,230.0,200.0
200.0,280.0,150.0
290.0,280.0,150.0
310.0,80.0,210.0
290.0,160.0,180.0
230.0,60.0,250.0
260.0,290.0,290.0
190.0,270.0,270.0
260.0,260.0,250.0
260.0,250.0,260.0
180.0,70.0,210.0
250.0,150.0,260.0
250.0,150.0,200.0
200.0,290.0,260.0
310.0,250.0,270.0
240.0,230.0,300.0
260.0,270.0,260.0
250.0,300.0,260.0
290.0,250.0,260.0
280.0,210.0,250.0
290.0,250.0,250.0
320.0,190.0,290.0
270.0,230.0,280.0
240.0,260.0,300.0
240.0,240.0,240.0
210.0,250.0,230.0
230.0,250.0,300.0
190.0,200.0,230.0
180.0,270.0,270.0
230.0,320.0,260.0
160.0,270.0,270.0
280.0,270.0,230.0
250.0,250.0,250.0
210.0,190.0,180.0
180.0,290.0,210.0
250.0,140.0,280.0
260.0,140.0,260.0
290.0,240.0,210.0
280.0,260.0,150.0
310.0,190.0,250.0
290.0,190.0,200.0
230.0,100.0,270.0
210.0,250.0,250.0
260.0,260.0,280.0
260.0,100.0,250.0
250.0,280.0,260.0
270.0,170.0,160.0
230.0,320.0,270.0
300.0,240.0,300.0
180.0,300.0,280.0
260.0,200.0,260.0
210.0,290.0,280.0
230.0,300.0,260.0
300.0,100.0,260.0
290.0,170.0,250.0
210.0,270.0,270.0
280.0,280.0,270.0
260.0,190.0,270.0
170.0,250.0,240.0
300.0,330.0,250.0
300.0,260.0,270.0
310.0,250.0,190.0
270.0,270.0,180.0
260.0,80.0,240.0
140.0,290.0,270.0
270.0,290.0,250.0
260.0,260.0,250.0
250.0,210.0,270.0
270.0,290.0,300.0
160.0,260.0,150.0
280.0,250.0,240.0
270.0,170.0,290.0
290.0,280.0,270.0
260.0,230.0,310.0
270.0,270.0,270.0
250.0,260.0,260.0
260.0,220.0,270.0
280.0,250.0,210.0
320.0,130.0,260.0
190.0,240.0,240.0
270.0,120.0,270.0
260.0,230.0,180.0
220.0,180.0,300.0
280.0,210.0,170.0
240.0,250.0,270.0
270.0,210.0,250.0
270.0,270.0,260.0
300.0,300.0,230.0
250.0,240.0,290.0
260.0,290.0,280.0
260.0,290.0,240.0
250.0,150.0,270.0
290.0,250.0,240.0
250.0,100.0,240.0
300.0,270.0,250.0
